id,nombre,ambito_gobierno,poder_gobierno,sistema3,entidad_nombre
142,SECRETARIA DE ADMINISTRACION Y FINANZAS,Estatal,Ejecutivo,false,Campeche
143,SECRETARIA DE DESARROLLO TERRITORIAL URBANO Y OBRAS PUBLICAS,Estatal,Ejecutivo,false,Campeche
144,SECRETARIA DE EDUCACION,Estatal,Ejecutivo,false,Campeche
145,SECRETARIA DE MODERNIZACION ADMINISTRATIVA E INNOVACION GUBERNAMENTAL,Estatal,Ejecutivo,false,Campeche
146,SECRETARIA DE SALUD,Estatal,Ejecutivo,false,Campeche
147,UNIDAD DE CONTRALORIA INTERNA DE LA COMISION DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA DEL ESTADO DE CAMPECHE,Estatal,Autonomo,false,Campeche
148,MUNICIPIO DE CALKINí,Municipal,Municipal,,Campeche
149,MUNICIPIO DE SAN FRANCISCO DE CAMPECHE,Municipal,Municipal,,Campeche
150,MUNICIPIO DE CIUDAD DEL CARMEN,Municipal,Municipal,,Campeche
151,MUNICIPIO DE CHAMPOTóN,Municipal,Municipal,,Campeche
152,MUNICIPIO DE HECELCHAKáN,Municipal,Municipal,,Campeche
153,MUNICIPIO DE HOPELCHéN,Municipal,Municipal,,Campeche
154,MUNICIPIO DE PALIZADA,Municipal,Municipal,,Campeche
155,MUNICIPIO DE TENABO,Municipal,Municipal,,Campeche
156,MUNICIPIO DE ESCáRCEGA,Municipal,Municipal,,Campeche
157,MUNICIPIO DE XPUJIL,Municipal,Municipal,,Campeche
158,MUNICIPIO DE CANDELARIA,Municipal,Municipal,,Campeche
159,MUNICIPIO DE SEYBAPLAYA,Municipal,Municipal,,Campeche
160,MUNICIPIO DE DZITBALCHé,Municipal,Municipal,,Campeche
161,CONTRALORíA INTERNA DE LA UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS,Estatal,Autonomo,false,Chiapas
162,CENTRO ESTATAL DE CONTROL DE CONFIANZA CERTIFICADO DEL ESTADO DE CHIAPAS,Estatal,Ejecutivo,false,Chiapas
163,CONTRALORíA DEL TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE CHIAPAS,Estatal,Autonomo,false,Chiapas
164,CONTRALORíA GENERAL DEL INSTITUTO DE ELECCIONES Y PARTICIPACIóN CIUDADANA,Estatal,Autonomo,false,Chiapas
165,CONTRALORíA GENERAL DEL TRIBUNAL ELECTORAL DEL ESTADO DE CHIAPAS,Estatal,Autonomo,false,Chiapas
166,CONTRALORíA INTERNA DE LA COMISIóN ESTATAL DE LOS DERECHOS HUMANOS,Estatal,Autonomo,false,Chiapas
167,CONTRALORíA INTERNA DEL CONGRESO DEL ESTADO,Estatal,Legislativo,false,Chiapas
168,CONTRALORíA INTERNA DEL CONSEJO DE LA JUDICATURA DEL PODER JUDICIAL DEL ESTADO DE CHIAPAS,Estatal,Judicial,false,Chiapas
169,ÓRGANO INTERNO DE CONTROL DE LA AUDITORíA SUPERIOR DEL ESTADO DE CHIAPAS,Estatal,Legislativo,false,Chiapas
170,ÓRGANO INTERNO DE CONTROL DE LA FISCALíA GENERAL DEL ESTADO,Estatal,Autonomo,false,Chiapas
171,SECRETARíA ANTICORRUPCIóN Y BUEN GOBIERNO,Estatal,Ejecutivo,false,Chiapas
172,DIRECCIóN DEL ÓRGANO INTERNO DE CONTROL DE LA UNIVERSIDAD AUTóNOMA DE CHIAPAS,Estatal,Autonomo,false,Chiapas
173,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE CHIAPAS,Estatal,Autonomo,false,Chiapas
174,MUNICIPIO DE ACACOYAGUA,Municipal,Municipal,,Chiapas
175,MUNICIPIO DE ACALA,Municipal,Municipal,,Chiapas
176,MUNICIPIO DE ACAPETAHUA,Municipal,Municipal,,Chiapas
177,MUNICIPIO DE ALTAMIRANO,Municipal,Municipal,,Chiapas
178,MUNICIPIO DE AMATáN,Municipal,Municipal,,Chiapas
179,MUNICIPIO DE AMATENANGO DE LA FRONTERA,Municipal,Municipal,,Chiapas
180,MUNICIPIO DE AMATENANGO DEL VALLE,Municipal,Municipal,,Chiapas
181,MUNICIPIO DE JALTENANGO DE LA PAZ (ÁNGEL ALBINO CORZO),Municipal,Municipal,,Chiapas
182,MUNICIPIO DE ARRIAGA,Municipal,Municipal,,Chiapas
183,MUNICIPIO DE BEJUCAL DE OCAMPO,Municipal,Municipal,,Chiapas
184,MUNICIPIO DE BELLA VISTA,Municipal,Municipal,,Chiapas
185,MUNICIPIO DE BERRIOZáBAL,Municipal,Municipal,,Chiapas
186,MUNICIPIO DE BOCHIL,Municipal,Municipal,,Chiapas
187,MUNICIPIO DE EL BOSQUE,Municipal,Municipal,,Chiapas
188,MUNICIPIO DE CACAHOATáN,Municipal,Municipal,,Chiapas
189,MUNICIPIO DE CATAZAJá,Municipal,Municipal,,Chiapas
190,MUNICIPIO DE CINTALAPA DE FIGUEROA,Municipal,Municipal,,Chiapas
191,MUNICIPIO DE COAPILLA,Municipal,Municipal,,Chiapas
192,MUNICIPIO DE COMITáN DE DOMíNGUEZ,Municipal,Municipal,,Chiapas
193,MUNICIPIO DE LA CONCORDIA,Municipal,Municipal,,Chiapas
194,MUNICIPIO DE COPAINALá,Municipal,Municipal,,Chiapas
195,MUNICIPIO DE CHALCHIHUITáN,Municipal,Municipal,,Chiapas
196,MUNICIPIO DE CHAMULA,Municipal,Municipal,,Chiapas
197,MUNICIPIO DE CHANAL,Municipal,Municipal,,Chiapas
198,MUNICIPIO DE CHAPULTENANGO,Municipal,Municipal,,Chiapas
199,MUNICIPIO DE CHENALHó,Municipal,Municipal,,Chiapas
200,MUNICIPIO DE CHIAPA DE CORZO,Municipal,Municipal,,Chiapas
201,MUNICIPIO DE CHIAPILLA,Municipal,Municipal,,Chiapas
202,MUNICIPIO DE CHICOASéN,Municipal,Municipal,,Chiapas
203,MUNICIPIO DE CHICOMUSELO,Municipal,Municipal,,Chiapas
204,MUNICIPIO DE CHILóN,Municipal,Municipal,,Chiapas
205,MUNICIPIO DE ESCUINTLA,Municipal,Municipal,,Chiapas
206,MUNICIPIO DE RIVERA EL VIEJO CARMEN,Municipal,Municipal,,Chiapas
207,MUNICIPIO DE FRONTERA COMALAPA,Municipal,Municipal,,Chiapas
208,MUNICIPIO DE FRONTERA HIDALGO,Municipal,Municipal,,Chiapas
209,MUNICIPIO DE LA GRANDEZA,Municipal,Municipal,,Chiapas
210,MUNICIPIO DE HUEHUETáN,Municipal,Municipal,,Chiapas
211,MUNICIPIO DE HUIXTáN,Municipal,Municipal,,Chiapas
212,MUNICIPIO DE HUITIUPáN,Municipal,Municipal,,Chiapas
213,MUNICIPIO DE HUIXTLA,Municipal,Municipal,,Chiapas
214,MUNICIPIO DE LA INDEPENDENCIA,Municipal,Municipal,,Chiapas
215,MUNICIPIO DE IXHUATáN,Municipal,Municipal,,Chiapas
216,MUNICIPIO DE IXTACOMITáN,Municipal,Municipal,,Chiapas
217,MUNICIPIO DE IXTAPA,Municipal,Municipal,,Chiapas
218,MUNICIPIO DE IXTAPANGAJOYA,Municipal,Municipal,,Chiapas
219,MUNICIPIO DE JIQUIPILAS,Municipal,Municipal,,Chiapas
220,MUNICIPIO DE JITOTOL,Municipal,Municipal,,Chiapas
221,MUNICIPIO DE JUáREZ,Municipal,Municipal,,Chiapas
222,MUNICIPIO DE LARRáINZAR,Municipal,Municipal,,Chiapas
223,MUNICIPIO DE LA LIBERTAD,Municipal,Municipal,,Chiapas
224,MUNICIPIO DE MAPASTEPEC,Municipal,Municipal,,Chiapas
225,MUNICIPIO DE LAS MARGARITAS,Municipal,Municipal,,Chiapas
226,MUNICIPIO DE MAZAPA DE MADERO,Municipal,Municipal,,Chiapas
227,MUNICIPIO DE MAZATáN,Municipal,Municipal,,Chiapas
228,MUNICIPIO DE METAPA DE DOMíNGUEZ,Municipal,Municipal,,Chiapas
229,MUNICIPIO DE MITONTIC,Municipal,Municipal,,Chiapas
230,MUNICIPIO DE MOTOZINTLA DE MENDOZA,Municipal,Municipal,,Chiapas
231,MUNICIPIO DE NICOLáS RUíZ,Municipal,Municipal,,Chiapas
232,MUNICIPIO DE OCOSINGO,Municipal,Municipal,,Chiapas
